Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
311.5,93.13,88.4735,97.7865,
312,92.94,88.293,97.587,
312.5,92.75,88.1125,97.3875,
313,92.56,87.932,97.188,
313.5,92.37,87.7515,96.9885,
314,92.18,87.571,96.789,
314.5,91.99,87.3905,96.5895,
315,91.8,87.21,96.39,
315.5,91.61,87.0295,96.1905,
316,91.42,86.849,95.991,
316.5,91.23,86.6685,95.7915,
317,91.04,86.488,95.592,
317.5,90.85,86.3075,95.3925,
318,90.66,86.127,95.193,
318.5,90.47,85.9465,94.9935,
319,90.28,85.766,94.794,
319.5,90.09,85.5855,94.5945,
320,89.9,85.405,94.395,
320.5,89.71,85.2245,94.1955,
321,89.52,85.044,93.996,
321.5,89.33,84.8635,93.7965,
322,89.14,84.683,93.597,
322.5,88.95,84.5025,93.3975,
323,88.76,84.322,93.198,
323.5,88.57,84.1415,92.9985,
324,88.38,83.961,92.799,
324.5,88.19,83.7805,92.5995,
325,88,83.6,92.4,
325.5,87.81,83.4195,92.2005,
326,87.62,83.239,92.001,
326.5,87.43,83.0585,91.8015,
327,87.24,82.878,91.602,
327.5,87.05,82.6975,91.4025,
328,86.86,82.517,91.203,
328.5,86.67,82.3365,91.0035,
329,86.48,82.156,90.804,
329.5,86.29,81.9755,90.6045,
330,86.1,81.795,90.405,
330.5,85.91,81.6145,90.2055,
331,85.72,81.434,90.006,
331.5,85.53,81.2535,89.8065,
332,85.34,81.073,89.607,
332.5,85.15,80.8925,89.4075,
333,84.96,80.712,89.208,
333.5,84.77,80.5315,89.0085,
334,84.58,80.351,88.809,
334.5,84.39,80.1705,88.6095,
335,84.2,79.99,88.41,
335.5,84.01,79.8095,88.2105,
336,83.82,79.629,88.011,
336.5,83.63,79.4485,87.8115,
337,83.44,79.268,87.612,
337.5,83.25,79.0875,87.4125,
338,83.06,78.907,87.213,
338.5,82.87,78.7265,87.0135,
339,82.68,78.546,86.814,
339.5,82.49,78.3655,86.6145,
340,82.3,78.185,86.415,
340.5,82.11,78.0045,86.2155,
341,81.92,77.824,86.016,
341.5,81.73,77.6435,85.8165,
342,81.54,77.463,85.617,
342.5,81.35,77.2825,85.4175,
343,81.16,77.102,85.218,
343.5,80.97,76.9215,85.0185,
344,80.78,76.741,84.819,
344.5,80.59,76.5605,84.6195,
345,80.4,76.38,84.42,
345.5,80.21,76.1995,84.2205,
346,80.02,76.019,84.021,
346.5,79.83,75.8385,83.8215,
347,79.64,75.658,83.622,
347.5,79.45,75.4775,83.4225,
348,79.26,75.297,83.223,
348.5,79.07,75.1165,83.0235,
349,78.88,74.936,82.824,
349.5,78.69,74.7555,82.6245,
350,78.5,74.575,82.425,
350.5,78.31,74.3945,82.2255,
351,78.12,74.214,82.026,
351.5,77.93,74.0335,81.8265,
352,77.74,73.853,81.627,
352.5,77.55,73.6725,81.4275,
353,77.36,73.492,81.228,
353.5,77.17,73.3115,81.0285,
354,76.98,73.131,80.829,
354.5,76.79,72.9505,80.6295,
355,76.6,72.77,80.43,
355.5,76.41,72.5895,80.2305,
356,76.22,72.409,80.031,
356.5,76.03,72.2285,79.8315,
357,75.84,72.048,79.632,
357.5,75.65,71.8675,79.4325,
358,75.46,71.687,79.233,
358.5,75.27,71.5065,79.0335,
359,75.08,71.326,78.834,
359.5,74.89,71.1455,78.6345,
360,74.7,70.965,78.435,
360.5,74.51,70.7845,78.2355,
361,74.32,70.604,78.036,
361.5,74.13,70.4235,77.8365,
362,73.94,70.243,77.637,
362.5,73.75,70.0625,77.4375,
363,73.56,69.882,77.238,
363.5,73.37,69.7015,77.0385,
364,73,69.35,76.65,
364.5,73,69.35,76.65,
365,73,69.35,76.65,
365.5,73,69.35,76.65,
366,73,69.35,76.65,
366.5,73,69.35,76.65,
367,73,69.35,76.65,
367.5,73,69.35,76.65,
368,73,69.35,76.65,
368.5,73,69.35,76.65,
369,73,69.35,76.65,
369.5,73,69.35,76.65,
370,73,69.35,76.65,
370.5,73,69.35,76.65,
371,73,69.35,76.65,
371.5,73,69.35,76.65,
372,73,69.35,76.65,
372.5,73,69.35,76.65,
373,73,69.35,76.65,
373.5,73,69.35,76.65,
374,73,69.35,76.65,
374.5,73,69.35,76.65,
375,73,69.35,76.65,
375.5,73,69.35,76.65,
376,73,69.35,76.65,
376.5,73,69.35,76.65,
377,73,69.35,76.65,
377.5,73,69.35,76.65,
378,73,69.35,76.65,
378.5,73,69.35,76.65,
379,73,69.35,76.65,
379.5,73,69.35,76.65,
380,73,69.35,76.65,
380.5,73,69.35,76.65,
381,73,69.35,76.65,
381.5,73,69.35,76.65,
382,73,69.35,76.65,
382.5,73,69.35,76.65,
383,73,69.35,76.65,
383.5,73,69.35,76.65,
384,73,69.35,76.65,
384.5,73,69.35,76.65,
385,73,69.35,76.65,
385.5,73,69.35,76.65,
386,73,69.35,76.65,
386.5,73,69.35,76.65,
387,73,69.35,76.65,
387.5,73,69.35,76.65,
388,73,69.35,76.65,
388.5,73,69.35,76.65,
389,73,69.35,76.65,
389.5,73,69.35,76.65,
390,73,69.35,76.65,
390.5,73,69.35,76.65,
391,73,69.35,76.65,
391.5,73,69.35,76.65,
392,73,69.35,76.65,
392.5,73,69.35,76.65,
393,73,69.35,76.65,
393.5,73,69.35,76.65,
394,73,69.35,76.65,
394.5,73,69.35,76.65,
395,73,69.35,76.65,
395.5,73,69.35,76.65,
396,73,69.35,76.65,
396.5,73,69.35,76.65,
397,73,69.35,76.65,
397.5,73,69.35,76.65,
398,73,69.35,76.65,
398.5,73,69.35,76.65,
399,73,69.35,76.65,
399.5,73,69.35,76.65,
400,73,69.35,76.65,
400.5,74.26,70.547,77.973,
401,75.52,71.744,79.296,
401.5,76.78,72.941,80.619,
402,78.04,74.138,81.942,
402.5,79.3,75.335,83.265,
403,80.56,76.532,84.588,
403.5,81.82,77.729,85.911,
404,83.08,78.926,87.234,
404.5,84.34,80.123,88.557,
405,85.6,81.32,89.88,
405.5,86.86,82.517,91.203,
406,88.12,83.714,92.526,
406.5,89.38,84.911,93.849,
407,90.64,86.108,95.172,
407.5,91.9,87.305,96.495,
408,93.16,88.502,97.818,
408.5,94.42,89.699,99.141,
409,95.68,90.896,100.464,
409.5,96.94,92.093,101.787,
410,98.2,93.29,103.11,
410.5,99.46,94.487,104.433,
411,100.72,95.684,105.756,
411.5,101.98,96.881,107.079,
412,103.24,98.078,108.402,
412.5,104.5,99.275,109.725,
413,105.76,100.472,111.048,
413.5,107.02,101.669,112.371,
414,108.28,102.866,113.694,
414.5,109.54,104.063,115.017,
415,110.8,105.26,116.34,
415.5,112.06,106.457,117.663,
416,113.32,107.654,118.986,
416.5,114.58,108.851,120.309,
417,115.84,110.048,121.632,
417.5,117.1,111.245,122.955,
418,118.36,112.442,124.278,
418.5,119.62,113.639,125.601,
419,120.88,114.836,126.924,
419.5,122.14,116.033,128.247,
420,123.4,117.23,129.57,
420.5,124.66,118.427,130.893,
421,125.92,119.624,132.216,
421.5,127.18,120.821,133.539,
422,128.44,122.018,134.862,
422.5,129.7,123.215,136.185,
423,130.96,124.412,137.508,
423.5,132.22,125.609,138.831,
424,133.48,126.806,140.154,
424.5,134.74,128.003,141.477,
425,136,129.2,142.8,
425.5,135.86,129.067,142.653,
426,135.72,128.934,142.506,
426.5,135.58,128.801,142.359,
427,135.44,128.668,142.212,
427.5,135.3,128.535,142.065,
428,135.16,128.402,141.918,
428.5,135.02,128.269,141.771,
429,134.88,128.136,141.624,
429.5,134.74,128.003,141.477,
430,134.6,127.87,141.33,
430.5,134.46,127.737,141.183,
431,134.32,127.604,141.036,
431.5,134.18,127.471,140.889,
432,134.04,127.338,140.742,
432.5,133.9,127.205,140.595,
433,133.76,127.072,140.448,
433.5,133.62,126.939,140.301,
434,133.48,126.806,140.154,
434.5,133.34,126.673,140.007,
435,133.2,126.54,139.86,
435.5,133.06,126.407,139.713,
436,132.92,126.274,139.566,
436.5,132.78,126.141,139.419,
437,132.64,126.008,139.272,
437.5,132.5,125.875,139.125,
438,132.36,125.742,138.978,
438.5,132.22,125.609,138.831,
439,132.08,125.476,138.684,
439.5,131.94,125.343,138.537,
440,131.8,125.21,138.39,
440.5,131.66,125.077,138.243,
441,131.52,124.944,138.096,
441.5,131.38,124.811,137.949,
442,131.24,124.678,137.802,
442.5,131.1,124.545,137.655,
443,130.96,124.412,137.508,
443.5,130.82,124.279,137.361,
444,130.68,124.146,137.214,
444.5,130.54,124.013,137.067,
445,130.4,123.88,136.92,
445.5,130.26,123.747,136.773,
446,130.12,123.614,136.626,
446.5,129.98,123.481,136.479,
447,129.84,123.348,136.332,
447.5,129.7,123.215,136.185,
448,129.56,123.082,136.038,
448.5,129.42,122.949,135.891,
449,129.28,122.816,135.744,
449.5,129.14,122.683,135.597,
450,129,122.55,135.45,
450.5,128.86,122.417,135.303,
451,128.72,122.284,135.156,
451.5,128.58,122.151,135.009,
452,128.44,122.018,134.862,
452.5,128.3,121.885,134.715,
453,128.16,121.752,134.568,
453.5,128.02,121.619,134.421,
454,127.88,121.486,134.274,
454.5,127.74,121.353,134.127,
455,127.6,121.22,133.98,
455.5,127.46,121.087,133.833,
456,127.32,120.954,133.686,
456.5,127.18,120.821,133.539,
457,127.04,120.688,133.392,
457.5,126.9,120.555,133.245,
458,126.76,120.422,133.098,
458.5,126.62,120.289,132.951,
459,126.48,120.156,132.804,
459.5,126.34,120.023,132.657,
460,126,119.7,132.3,
460.5,125.51,119.2345,131.7855,
461,125.02,118.769,131.271,
461.5,124.53,118.3035,130.7565,
462,124.04,117.838,130.242,
462.5,123.55,117.3725,129.7275,
463,123.06,116.907,129.213,
463.5,122.57,116.4415,128.6985,
464,122.08,115.976,128.184,
464.5,121.59,115.5105,127.6695,
465,121.1,115.045,127.155,
465.5,120.61,114.5795,126.6405,
466,120.12,114.114,126.126,
466.5,119.63,113.6485,125.6115,
467,119.14,113.183,125.097,
467.5,118.65,112.7175,124.5825,
468,118.16,112.252,124.068,
468.5,117.67,111.7865,123.5535,
469,117.18,111.321,123.039,
469.5,116.69,110.8555,122.5245,
470,116.2,110.39,122.01,
470.5,115.71,109.9245,121.4955,
471,115.22,109.459,120.981,
471.5,114.73,108.9935,120.4665,
472,114.24,108.528,119.952,
472.5,113.75,108.0625,119.4375,
473,113.26,107.597,118.923,
473.5,112.77,107.1315,118.4085,
474,112.28,106.666,117.894,
474.5,111.79,106.2005,117.3795,
475,111.3,105.735,116.865,
475.5,110.81,105.2695,116.3505,
476,110.32,104.804,115.836,
476.5,109.83,104.3385,115.3215,
477,109.34,103.873,114.807,
477.5,108.85,103.4075,114.2925,
478,108.36,102.942,113.778,
478.5,107.87,102.4765,113.2635,
479,107.38,102.011,112.749,
479.5,106.89,101.5455,112.2345,
480,106.4,101.08,111.72,
480.5,105.91,100.6145,111.2055,
481,105.42,100.149,110.691,
481.5,104.93,99.6835,110.1765,
482,104.44,99.218,109.662,
482.5,103.95,98.7525,109.1475,
483,103.46,98.287,108.633,
483.5,102.97,97.8215,108.1185,
484,102.48,97.356,107.604,
484.5,101.99,96.8905,107.0895,
485,101.5,96.425,106.575,
485.5,101.01,95.9595,106.0605,
486,100.52,95.494,105.546,
486.5,100.03,95.0285,105.0315,
487,99.54,94.563,104.517,
487.5,99.05,94.0975,104.0025,
488,98.56,93.632,103.488,
488.5,98.07,93.1665,102.9735,
489,97.58,92.701,102.459,
489.5,97.09,92.2355,101.9445,
490,96.6,91.77,101.43,
490.5,96.11,91.3045,100.9155,
491,95.62,90.839,100.401,
491.5,95.13,90.3735,99.8865,
492,94.64,89.908,99.372,
492.5,94.15,89.4425,98.8575,
493,93.66,88.977,98.343,
493.5,93.17,88.5115,97.8285,
494,92.68,88.046,97.314,
494.5,92.19,87.5805,96.7995,
495,91.7,87.115,96.285,
495.5,91.21,86.6495,95.7705,
496,90.72,86.184,95.256,
496.5,90.23,85.7185,94.7415,
497,89.74,85.253,94.227,
497.5,89.25,84.7875,93.7125,
498,88.76,84.322,93.198,
498.5,88.27,83.8565,92.6835,
499,87.78,83.391,92.169,
499.5,87.29,82.9255,91.6545,
500,86.8,82.46,91.14,
500.5,86.31,81.9945,90.6255,
501,85.82,81.529,90.111,
501.5,85.33,81.0635,89.5965,
502,84.84,80.598,89.082,
502.5,84.35,80.1325,88.5675,
503,83.86,79.667,88.053,
503.5,83.37,79.2015,87.5385,
504,82.88,78.736,87.024,
504.5,82.39,78.2705,86.5095,
505,81.9,77.805,85.995,
505.5,81.41,77.3395,85.4805,
506,80.92,76.874,84.966,
506.5,80.43,76.4085,84.4515,
507,79.94,75.943,83.937,
507.5,79.45,75.4775,83.4225,
508,78.96,75.012,82.908,
508.5,78.47,74.5465,82.3935,
509,77.98,74.081,81.879,
509.5,77.49,73.6155,81.3645,
510,77,73.15,80.85,
510.5,76.51,72.6845,80.3355,
511,76.02,72.219,79.821,
511.5,75.53,71.7535,79.3065,
512,75.04,71.288,78.792,
512.5,74.55,70.8225,78.2775,
513,74.06,70.357,77.763,
513.5,73.57,69.8915,77.2485,
514,73.08,69.426,76.734,
514.5,72.59,68.9605,76.2195,
515,72.1,68.495,75.705,
515.5,71.61,68.0295,75.1905,
516,71.12,67.564,74.676,
516.5,70.63,67.0985,74.1615,
517,70.14,66.633,73.647,
517.5,69.65,66.1675,73.1325,
518,69.16,65.702,72.618,
518.5,68.67,65.2365,72.1035,
519,68.18,64.771,71.589,
519.5,67.69,64.3055,71.0745,
520,67.2,63.84,70.56,
520.5,66.71,63.3745,70.0455,
521,66.22,62.909,69.531,
521.5,65.73,62.4435,69.0165,
522,65.24,61.978,68.502,
522.5,64.75,61.5125,67.9875,
523,64.26,61.047,67.473,
523.5,63.77,60.5815,66.9585,
524,63.28,60.116,66.444,
524.5,62.79,59.6505,65.9295,
525,62.3,59.185,65.415,
525.5,61.81,58.7195,64.9005,
526,61.32,58.254,64.386,
526.5,60.83,57.7885,63.8715,
527,60.34,57.323,63.357,
527.5,59.85,56.8575,62.8425,
528,59.36,56.392,62.328,
528.5,58.87,55.9265,61.8135,
529,58.38,55.461,61.299,
529.5,57.89,54.9955,60.7845,
530,57.4,54.53,60.27,
530.5,56.91,54.0645,59.7555,
531,56.42,53.599,59.241,
531.5,55.93,53.1335,58.7265,
532,55.44,52.668,58.212,
532.5,54.95,52.2025,57.6975,
533,54.46,51.737,57.183,
533.5,53.97,51.2715,56.6685,
534,53.48,50.806,56.154,
534.5,52.99,50.3405,55.6395,
535,52.5,49.875,55.125,
535.5,52.01,49.4095,54.6105,
536,51.52,48.944,54.096,
536.5,51.03,48.4785,53.5815,
537,50.54,48.013,53.067,
537.5,50.05,47.5475,52.5525,
538,49,46.55,51.45,
538.5,48.86,46.417,51.303,
539,48.72,46.284,51.156,
539.5,48.58,46.151,51.009,
540,48.44,46.018,50.862,
540.5,48.3,45.885,50.715,
541,48.16,45.752,50.568,
541.5,48.02,45.619,50.421,
542,47.88,45.486,50.274,
542.5,47.74,45.353,50.127,
543,47.6,45.22,49.98,
543.5,47.46,45.087,49.833,
544,47.32,44.954,49.686,
544.5,47.18,44.821,49.539,
545,47.04,44.688,49.392,
545.5,46.9,44.555,49.245,
546,46.76,44.422,49.098,
546.5,46.62,44.289,48.951,
547,46.48,44.156,48.804,
547.5,46.34,44.023,48.657,
548,46.2,43.89,48.51,
548.5,46.06,43.757,48.363,
549,45.92,43.624,48.216,
549.5,45.78,43.491,48.069,
550,45.64,43.358,47.922,
550.5,45.5,43.225,47.775,
551,45.36,43.092,47.628,
551.5,45.22,42.959,47.481,
552,45.08,42.826,47.334,
552.5,44.94,42.693,47.187,
553,44.8,42.56,47.04,
553.5,44.66,42.427,46.893,
554,44.52,42.294,46.746,
554.5,44.38,42.161,46.599,
555,44.24,42.028,46.452,
555.5,44.1,41.895,46.305,
556,43.96,41.762,46.158,
556.5,43.82,41.629,46.011,
557,43.68,41.496,45.864,
557.5,43.54,41.363,45.717,
558,43.4,41.23,45.57,
558.5,43.26,41.097,45.423,
559,43.12,40.964,45.276,
559.5,42.98,40.831,45.129,
560,42.84,40.698,44.982,
560.5,42.7,40.565,44.835,
561,42.56,40.432,44.688,
561.5,42.42,40.299,44.541,
562,42.28,40.166,44.394,
562.5,42.14,40.033,44.247,
563,42,39.9,44.1,
563.5,41.86,39.767,43.953,
564,41.72,39.634,43.806,
564.5,41.58,39.501,43.659,
565,41.44,39.368,43.512,
565.5,41.3,39.235,43.365,
566,41.16,39.102,43.218,
566.5,41.02,38.969,43.071,
567,40.88,38.836,42.924,
567.5,40.74,38.703,42.777,
568,40.6,38.57,42.63,
568.5,40.46,38.437,42.483,
569,40.32,38.304,42.336,
569.5,40.18,38.171,42.189,
570,40.04,38.038,42.042,
570.5,39.9,37.905,41.895,
571,39.76,37.772,41.748,
571.5,39.62,37.639,41.601,
572,39.48,37.506,41.454,
572.5,39.34,37.373,41.307,
573,39.2,37.24,41.16,
573.5,39.06,37.107,41.013,
574,38.92,36.974,40.866,
574.5,38.78,36.841,40.719,
575,38.64,36.708,40.572,
575.5,38.5,36.575,40.425,
576,38.36,36.442,40.278,
576.5,38.22,36.309,40.131,
577,38.08,36.176,39.984,
577.5,37.94,36.043,39.837,
578,37.8,35.91,39.69,
578.5,37.66,35.777,39.543,
579,37.52,35.644,39.396,
579.5,37.38,35.511,39.249,
580,37.24,35.378,39.102,
580.5,37.1,35.245,38.955,
581,36.96,35.112,38.808,
581.5,36.82,34.979,38.661,
582,36.68,34.846,38.514,
582.5,36.54,34.713,38.367,
583,36.4,34.58,38.22,
583.5,36.26,34.447,38.073,
584,36.12,34.314,37.926,
584.5,35.98,34.181,37.779,
585,35.84,34.048,37.632,
585.5,35.7,33.915,37.485,
586,35.56,33.782,37.338,
586.5,35.42,33.649,37.191,
587,35.28,33.516,37.044,
587.5,35.14,33.383,36.897,
588,35,33.25,36.75,
588.5,34.86,33.117,36.603,
589,34.72,32.984,36.456,
589.5,34.58,32.851,36.309,
590,34.44,32.718,36.162,
590.5,34.3,32.585,36.015,
591,34.16,32.452,35.868,
591.5,34.02,32.319,35.721,
592,33.88,32.186,35.574,
592.5,33.74,32.053,35.427,
593,33.6,31.92,35.28,
593.5,33.46,31.787,35.133,
594,33.32,31.654,34.986,
594.5,33.18,31.521,34.839,
595,33.04,31.388,34.692,
595.5,32.9,31.255,34.545,
596,32.76,31.122,34.398,
596.5,32.62,30.989,34.251,
597,32.48,30.856,34.104,
597.5,32.34,30.723,33.957,
598,32.2,30.59,33.81,
598.5,32.06,30.457,33.663,
599,31.92,30.324,33.516,
599.5,31.78,30.191,33.369,
600,31,29.45,32.55,
600.5,30.9,29.355,32.445,
601,30.8,29.26,32.34,
601.5,30.7,29.165,32.235,
602,30.6,29.07,32.13,
602.5,30.5,28.975,32.025,
603,30.4,28.88,31.92,
603.5,30.3,28.785,31.815,
604,30.2,28.69,31.71,
604.5,30.1,28.595,31.605,
605,30,28.5,31.5,
605.5,29.9,28.405,31.395,
606,29.8,28.31,31.29,
606.5,29.7,28.215,31.185,
607,29.6,28.12,31.08,
607.5,29.5,28.025,30.975,
608,29.4,27.93,30.87,
608.5,29.3,27.835,30.765,
609,29.2,27.74,30.66,
609.5,29.1,27.645,30.555,
610,29,27.55,30.45,
610.5,28.9,27.455,30.345,
611,28.8,27.36,30.24,
611.5,28.7,27.265,30.135,
612,28.6,27.17,30.03,
612.5,28.5,27.075,29.925,
613,28.4,26.98,29.82,
613.5,28.3,26.885,29.715,
614,28.2,26.79,29.61,
614.5,28.1,26.695,29.505,
615,28,26.6,29.4,
615.5,27.9,26.505,29.295,
616,27.8,26.41,29.19,
616.5,27.7,26.315,29.085,
617,27.6,26.22,28.98,
617.5,27.5,26.125,28.875,
618,27.4,26.03,28.77,
618.5,27.3,25.935,28.665,
619,27.2,25.84,28.56,
619.5,27.1,25.745,28.455,
620,27,25.65,28.35,
620.5,26.9,25.555,28.245,
621,26.8,25.46,28.14,
621.5,26.7,25.365,28.035,
622,26.6,25.27,27.93,
622.5,26.5,25.175,27.825,
623,26.4,25.08,27.72,
623.5,26.3,24.985,27.615,
624,26.2,24.89,27.51,
624.5,26.1,24.795,27.405,
625,26,24.7,27.3,
625.5,25.9,24.605,27.195,
626,25.8,24.51,27.09,
626.5,25.7,24.415,26.985,
627,25.6,24.32,26.88,
627.5,25.5,24.225,26.775,
628,25.4,24.13,26.67,
628.5,25.3,24.035,26.565,
629,25.2,23.94,26.46,
629.5,25.1,23.845,26.355,
630,25,23.75,26.25,
630.5,24.9,23.655,26.145,
631,24.8,23.56,26.04,
631.5,24.7,23.465,25.935,
632,24.6,23.37,25.83,
632.5,24.5,23.275,25.725,
633,24.4,23.18,25.62,
633.5,24.3,23.085,25.515,
634,24.2,22.99,25.41,
634.5,24.1,22.895,25.305,
635,24,22.8,25.2,
