,T_C,sample_id,mineralogy,kink,reference
1,385,MBG-CC-1,Calcite,2,Passey & Henkes (2012)
2,405,MBG-CC-1,Calcite,2,Passey & Henkes (2012)
3,425,MBG-CC-1,Calcite,1,Passey & Henkes (2012)
4,450,MBG-CC-1,Calcite,1,Passey & Henkes (2012)
5,475,MBG-CC-1,Calcite,2,Passey & Henkes (2012)
6,300,NE-CC-1,Calcite,1,Passey & Henkes (2012)
7,350,NE-CC-1,Calcite,1,Passey & Henkes (2012)
8,385,NE-CC-1,Calcite,1,Passey & Henkes (2012)
9,425,NE-CC-1,Calcite,1,Passey & Henkes (2012)
10,475,NE-CC-1,Calcite,1,Passey & Henkes (2012)
11,525,NE-CC-1,Calcite,2,Passey & Henkes (2012)
12,560,NE-CC-1,Calcite,1,Passey & Henkes (2012)
13,600,NE-CC-1,Calcite,1,Passey & Henkes (2012)
14,650,NE-CC-1,Calcite,1,Passey & Henkes (2012)
15,422,NE-CC-1_P,Calcite,2,Passey & Henkes (2012)
16,385,WA-CB-13,Calcite,2,Henkes et al. (2014)
17,405,WA-CB-13,Calcite,1,Henkes et al. (2014)
18,425,WA-CB-13,Calcite,1,Henkes et al. (2014)
19,450,WA-CB-13,Calcite,1,Henkes et al. (2014)
20,475,WA-CB-13,Calcite,1,Henkes et al. (2014)
21,430,Optical calcite from Mexico,Calcite,1,Stolper & Eiler (2015)
22,536,Optical calcite from Mexico,Calcite,1,Stolper & Eiler (2015)
23,692,Optical calcite from Mexico,Calcite,1,Stolper & Eiler (2015)
24,430,Siilinjarvi carbonatite Apatite,Apatite (carbonate group),1,Stolper & Eiler (2015)
25,536,Siilinjarvi carbonatite Apatite,Apatite (carbonate group),1,Stolper & Eiler (2015)
26,692,Siilinjarvi carbonatite Apatite,Apatite (carbonate group),1,Stolper & Eiler (2015)
27,385,MGB-CC-1 (hydrothermal),Calcite,2,Brenner et al. (2018)
28,405,MGB-CC-1 (hydrothermal),Calcite,1,Brenner et al. (2018)
29,425,MGB-CC-1 (hydrothermal),Calcite,1,Brenner et al. (2018)
30,450,MGB-CC-1 (hydrothermal),Calcite,2,Brenner et al. (2018)
33,486,Eugui dolomite,Dolomite,1,Lloyd et al. (2018)
34,511,Eugui dolomite,Dolomite,1,Lloyd et al. (2018)
35,563,Eugui dolomite,Dolomite,1,Lloyd et al. (2018)
36,614,Eugui dolomite,Dolomite,2,Lloyd et al. (2018)
37,717,Eugui dolomite,Dolomite,1,Lloyd et al. (2018)
38,200,Tazouta aragonite,Aragonite,2,Chen et al. (2019)
39,300,Tazouta aragonite,Aragonite,2,Chen et al. (2019)
40,400,Tazouta aragonite,Aragonite,2,Chen et al. (2019)
41,350,Tazouta aragonite,Aragonite,1,Chen et al. (2019)
42,350,Tazouta aragonite,Aragonite,2,Chen et al. (2019)